ID,Incident Local Government Area,dv_no,other_no
1,Albury,328,562
2,Armidale Regional,187,254
3,Ballina,127,361
4,Balranald,13,247
5,Bathurst Regional,236,580
6,Bayside,665,799
7,Bega Valley,114,348
8,Bellingen,56,211
9,Berrigan,17,251
10,Blacktown,2195,2459
11,Bland,20,60
12,Blayney,34,268
13,Blue Mountains,213,227
14,Bogan,21,67
15,Bourke,119,353
16,Brewarrina,66,99
17,Broken Hill,246,480
18,Burwood,68,116
19,Byron,103,337
20,Cabonne,30,118
21,Camden,335,390
22,Campbelltown,968,1202
23,Canada Bay,117,123
24,Canterbury-Bankstown,1340,1396
25,Carrathool,21,255
26,Central Coast,1489,2023
27,Central Darling,85,90
28,Cessnock,259,493
29,Clarence Valley,216,220
30,Cobar,22,256
31,Coffs Harbour,527,626
32,Coolamon,10,244
33,Coonamble,98,121
34,Cootamundra-Gundagai,64,106
35,Cowra,84,318
36,Cumberland,1062,1108
37,Dubbo Regional,631,670
38,Dungog,36,270
39,Edward River,58,62
40,Eurobodalla,191,425
41,Fairfield,766,832
42,Federation,40,274
43,Forbes,82,177
44,Georges River,447,681
45,Gilgandra,54,111
46,Glen Innes Severn,72,306
47,Goulburn Mulwaree,130,364
48,Greater Hume Shire,31,165
49,Griffith,220,454
50,Gunnedah,95,218
51,Gwydir,33,267
52,Hawkesbury,282,329
53,Hay,29,263
54,Hilltops,99,103
55,Hornsby,291,347
56,Hunters Hill,19,253
57,Inner West,414,534
58,Inverell,128,362
59,Junee,30,264
60,Kempsey,243,247
61,Kiama,38,73
62,Ku-ring-gai,153,387
63,Kyogle,36,270
64,Lachlan,47,137
65,Lake Macquarie,746,980
66,Lane Cove,62,196
67,Leeton,83,317
68,Lismore,213,247
69,Lithgow,130,364
70,Liverpool,1028,1072
71,Liverpool Plains,53,287
72,Lockhart,7,95
73,Maitland,432,666
74,Mid-Coast,485,593
75,Mid-Western Regional,160,394
76,Moree Plains,211,300
77,Mosman,20,119
78,Murray River,18,84
79,Murrumbidgee,23,257
80,Muswellbrook,128,362
81,Nambucca,137,171
82,Narrabri,96,330
83,Narrandera,55,122
84,Narromine,60,294
85,Newcastle,664,723
86,North Sydney,92,101
87,Northern Beaches,350,584
88,Oberon,23,9
89,Orange,261,298
90,Parkes,98,332
91,Parramatta,883,924
92,Penrith,1379,1613
93,Port Macquarie-Hastings,316,364
94,Port Stephens,356,122
95,Queanbeyan-Palerang Regional,190,192
96,Randwick,390,156
97,Richmond Valley,150,169
98,Ryde,309,543
99,Shellharbour,262,266
100,Shoalhaven,454,460
101,Singleton,96,330
102,Snowy Monaro Regional,62,8
103,Snowy Valleys,80,214
104,Strathfield,135,369
105,Sutherland Shire,652,886
106,Sydney,1115,1349
107,Tamworth Regional,414,448
108,Temora,24,58
109,Tenterfield,59,293
110,The Hills Shire,331,565
111,Tweed,335,469
112,Unincorporated Far West,4,238
113,Upper Hunter Shire,76,222
114,Upper Lachlan Shire,9,70
115,Uralla,19,253
116,Wagga Wagga,455,479
117,Walcha,15,19
118,Walgett,144,378
119,Warren,39,5
120,Warrumbungle Shire,33,267
121,Waverley,170,175
122,Weddin,14,88
123,Wentworth,67,101
124,Willoughby,95,329
125,Wingecarribee,108,246
126,Wollondilly,179,413
127,Wollongong,659,743
128,Woollahra,81,315
129,Yass Valley,34,345